DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y14,M,BE,2020,66487,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y14,M,BE,2021,68050,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y14,M,BE,2022,69042,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y15,F,BE,2011,60159,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y15,F,BE,2012,61157,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y15,F,BE,2013,61224,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y15,F,BE,2014,60420,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y15,F,BE,2015,60439,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y15,F,BE,2016,61359,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y15,F,BE,2017,60732,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y15,F,BE,2018,59781,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y15,F,BE,2019,60742,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y15,F,BE,2020,62287,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y15,F,BE,2021,63387,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y15,F,BE,2022,65714,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y15,M,BE,2011,62913,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y15,M,BE,2012,63697,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y15,M,BE,2013,63880,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y15,M,BE,2014,63150,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y15,M,BE,2015,62877,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y15,M,BE,2016,64748,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y15,M,BE,2017,63551,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y15,M,BE,2018,62912,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y15,M,BE,2019,63507,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y15,M,BE,2020,65863,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y15,M,BE,2021,66993,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y15,M,BE,2022,68687,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y16,F,BE,2011,60393,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y16,F,BE,2012,60560,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y16,F,BE,2013,61504,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y16,F,BE,2014,61551,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y16,F,BE,2015,60653,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y16,F,BE,2016,60805,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y16,F,BE,2017,61633,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y16,F,BE,2018,61008,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y16,F,BE,2019,60184,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y16,F,BE,2020,61160,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y16,F,BE,2021,62544,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y16,F,BE,2022,63704,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y16,M,BE,2011,64040,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y16,M,BE,2012,63700,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y16,M,BE,2013,64151,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y16,M,BE,2014,64145,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y16,M,BE,2015,63478,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y16,M,BE,2016,64347,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y16,M,BE,2017,65267,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y16,M,BE,2018,63940,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y16,M,BE,2019,63533,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y16,M,BE,2020,64253,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y16,M,BE,2021,66638,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y16,M,BE,2022,67957,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y17,F,BE,2011,63321,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y17,F,BE,2012,60950,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y17,F,BE,2013,61057,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y17,F,BE,2014,61846,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y17,F,BE,2015,61809,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y17,F,BE,2016,61100,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y17,F,BE,2017,61143,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y17,F,BE,2018,61977,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y17,F,BE,2019,61436,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y17,F,BE,2020,60522,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y17,F,BE,2021,61454,
